userName,score,at,content
Hendra Property,1,2025-05-09 00:10:09,aplikasi busuk
A Dreamer,5,2025-05-07 05:36:55,Integrity is number one.
Silvi Sabrina,1,2025-05-02 06:10:23,"Barusan update tapi berulang kali ngga bisa login. Muncul keterangan error, sesi berakhir, login ulang. Sudah berulang kali masih ngga bisa juga."
Abdulistic,1,2025-04-30 17:25:35,ga guna
KM Noel,1,2025-04-29 22:50:14,"HAHAHAH Jelek banget njir, berapa dananya"
REL,1,2025-04-28 13:56:29,terimakasih
naura nadine,1,2025-04-28 13:17:33,buruk
Errik Widyandoko,1,2025-04-24 15:12:45,Login error terus hadeh
Darell Tj,1,2025-04-23 03:05:45,"ngabisin anggaran aja, mau verifikasi lewat no HP tidak bs. lewat web jg tidak terima SMSnya."
Xiao,1,2025-04-22 12:27:11,abis update malah gabisa log in
Sriwijaya Ang,1,2025-04-21 11:23:24,"Sudah daftar pengguna baru. sampai ke tahap kode verifikasi. Sudah cek di email, spam dll tapi gada satupun kode masuk. Klik kirim ulang kode berkali² juga tetap aja gada email atau spam masuk. Hadeh, gimana rakyat mau taat bayar pajak, kalo aplikasinya kayak gini."
Aziz le Feuvre,1,2025-04-16 07:51:54,aplikasi kucluk
Winda Nurmalita,1,2025-04-16 06:15:55,"aplikasi tolol, ga bisa forgot password buat ganti password. mau lapor pajak butuh efin, harus dateng ke kantor terdekat. ribet. kenapa ribet bgt lu pajak. benerin dulu sistemnya kalo mau masyarakat tertib lapor pajak."
Kun Alafa,1,2025-04-12 22:18:53,susahnya masuk aja ribet
Ridwan Gunawan,1,2025-04-11 05:07:39,"lupa eFin, dwld app ini, isi isi data, foto selfie, daaannn...spt biasa hasilnya error (terdapat kesalahan pd sistem kami blablabla)... ampun deh, knp sih semua hal yg mau di-online-kan di konoha ini selalu berujung sia2?!"
Lilly Kelly,1,2025-04-11 03:30:18,"parah sih, mo sign up ga bisa, cum suru login, ga ada pilihan sign up, koq pemerintah pny app, tapi kaya app asal...😢😢 tlg dong dibenahi, kita bayar pajak buanyaakkk tiap bulan buat apa?? kalau app nya yg simpel aja ga bisa?"
Fajar Prasetya,1,2025-04-10 14:14:30,Lapor pajak untuk pegawai yang gajinya otomatis dipotong oleh perusahaan tempat bekerja adalah aktivitas paling useless yang pernah ada
VANZ24,1,2025-04-10 08:58:21,"Tolong dong aplikasinya di update. saya mau cek EFIN tapi di aplikasinya jumlah digit ga sesuai dengan data terbaru, jadi tidak bisa diproses. Segera diperbaharui juga aplikasinya"
Andre Marbun,1,2025-04-08 09:50:46,"itu apaan coba, pada error pas lihat versi web di mobile, font size nya juga bikin mata sakit. via web juga, mau cek npwp malah hanya ada field captcha, dan npwp yg mau di cek jg ga ada fieldnya. sama sekali ga membantu."
Akun Penjelajah,1,2025-04-07 04:57:08,Dana gede tapi bikin aplikasi yg optimal aja susah. tiap login dari hp gagal terus
Miftahul Rezki,1,2025-04-07 03:32:51,tidak bisa digunakan
L Lawliet,1,2025-04-01 05:27:36,"aplikasiya jelek, tidak beefungsi"
Christina Prameswari,1,2025-03-30 13:26:19,gak bisa login
craftyparty indonesia,1,2025-03-29 14:13:44,Sampah bener aplikasinya. Ga ada berkelas sama sekali. Mau lapor SPT menunya ga ada. Susah bener
Gan An,5,2025-03-28 10:05:24,good
Juliott Berguson,1,2025-03-28 01:58:08,tidak berguna
Ninis Lestiarini,1,2025-03-27 22:55:43,☠️
Giovanni Calvin (Gio),1,2025-03-27 08:31:39,minta kode ga masuk masuk
jungkat junkyu,5,2025-03-27 02:36:02,"Aplikasinya sangat membantu untuk mendapatkan efin, tidak sampai 5 menit prosesnya sudah selesai"
Stevano Putra,1,2025-03-26 21:29:28,"Kembaliannya ambil aja, ga ada bintang 0 soalnya"
Verina Dyah Kania,1,2025-03-26 13:56:03,musingin
Calvin Firlansyah,1,2025-03-26 06:26:39,"Typical Indonesian Government's app. Poor Ul, poor usability, all the development money is wasted."
Yuni Amelia Susanti,1,2025-03-26 04:45:40,"aplikasi ga berguna. belum juga 1 detik login, langsung sesi berakhir katanya. gimana mau lapor pajak coba??"
MIMI HITAM,1,2025-03-26 04:14:41,tidak bisa lapor spt tahunan . .di buka semua 1 1 gak ada pilihan lapor spt tahunan
Unkle “unKl386” Kuma,5,2025-03-25 07:16:08,mempermudah wp lupa efin
Nilgawati (Nilgawati),1,2025-03-25 06:38:30,bad sistem verification
fino musoleh,1,2025-03-25 05:05:09,"applikasi ini sangat tidak berguna, mau ganti password aja susah bgt dan gagal terus padahal npwp dan efin sudah sesuai 👎👎👎"
Vixtorius Gautama,1,2025-03-25 02:46:07,"Kita kerja dipalakin pajak Beli kendaraan dipalakin pajak Beli rumah dipalakin pajak Makan dipalakin pajak Beli barang dipalakin pajak Ngurus pajak harus antri, logika terbalik, dia yg minta dia yg ngerepotin hadehh"
Angga Darmawan,1,2025-03-24 08:27:38,"lupa efin, tapi setelah nyoba minta dikirim efin by email. gk masuk², cuman dpt OTP buat ngirim request efin doang"
Ligar Lugina,1,2025-03-24 05:52:53,"semua platform review nya jelek dan memang benar 👎, masalah yg sama di alami oleh saya. ini developer nya liat review gak sih ? semoga google dan Appstore kasi teguran buat Apps ini supaya segera di perbaiki. kalau tidak bisa bikin apps yg proper, lebih baik tidak usah mewajibkan rakyat untuk melapor pajak 👎"
Clarissa Theophilia,1,2025-03-24 05:16:04,"coba login berkali kali ga bisa, selalu error padahal di website bisa login, mohon bisa segera di perbaiki"
Tri B,1,2025-03-24 04:50:37,ga bisa login. di web gada masalah
Dimas Darmono,1,2025-03-24 02:36:51,MAU KASIH THR KE PEMERINTAH AJA MASIH AJA DIPERSULIT APLIKASI SAMPAH
Mr. Scofield,1,2025-03-24 01:59:25,Login aja ga bisa loh. Gimana mau dipake app nya
nanana,1,2025-03-23 17:08:02,"Nomor NPWP ada 12 digit tapi cuma bisa ngisi kolomnya maksimal 11 digit untuk EFIN. Ini gimana sih yang buat, digaji pake duit rakyat kok kerjanya ga bener, infrastrukturnya kok ngaco kaya gini. Ga ada trial dulu kah sebelum dirilis aplikasinya???? mengecewakan! bisanya cuma makanin uang rakyat tapi tidak bisa bekerja! tidak ada harga dirinya."
Mohammad Ichsanudin Malik,1,2025-03-22 08:11:52,sampah
messa pristiany,1,2025-03-21 22:01:46,diharuskan bayar pajak. ok. diharuskan lapor pajak juga Ok. tp minimal bisa kasih kemudahan utk dpt informasi & utk melakukan prosedur nya & troubleshooting. ada aplikasi tp sama sekali tidak membantu..
Nabyla Diningrum,1,2025-03-20 18:54:06,hebat...
Edwin Kurniadi,5,2025-03-20 03:41:42,Everything is OK.
Siti Maghfiroh,1,2025-03-18 13:35:47,"Rumit banget sih, buat app yang easy to use dong"
Agung Septian Pratama P.,1,2025-03-18 02:52:14,"Tolong dong pengiriman kode EFIN jangan cuma bisa dikirim ke email, tapi bisa dikirim ke no hp juga"
Esa Agung Pratama,1,2025-03-17 21:55:54,"No NPWP sekarang 16 digit (Sama dengan NIK), sedangkan mau bikin EFIN No NPWP cuman 15 digit. Ini bagaimana mau sinkron?"
Jevri,1,2025-03-17 06:06:39,"g jelas ni apk, verifikasi aja susah. padahal data udah bener. blok"
Draconoz,1,2025-03-16 09:02:41,Jelek sangat merepotkan
Jayson Shin,1,2025-03-16 00:12:16,gaje
Keira,1,2025-03-15 12:15:09,Aplikasi ga guna. Error terus padahal input udah bener.
Firas MA,1,2025-03-14 23:11:59,Hah pajak?
cheetah wahyu,1,2025-03-14 10:17:20,Tidak terlalu berguna. Lebih di perkaya lagi fitur ya agar tidak perlu masuk ke DJP online lagi. Lebih baik di integrasikan saja dengan DJP online untuk mempermudah dalam pelaporan pajak juga Download Instal Login Log out Uninstal
Dubertho christnoval,1,2025-03-14 07:33:19,"Jadi aplikasi ini dikebangkan dengan uang yg kita kasi, tapi terlihata tidak ada perkembangan, baru mau bayar"
F Bain,2,2025-03-14 04:49:36,"Journey digital nya tdk bagus tdk ada tanda konfirmasi di email, DJP gak paham bikin aplikasi .. minta ganti EFIN gak ada konfirmasi apa2, pdhal sdh pakai OTP sms."
Alifvian Marco,1,2025-03-12 08:05:30,Gabisa dipakai
